"01.w_Defects/memory_leak.c:219","warning: Potential leak of memory pointed to by 'p'"
"01.w_Defects/memory_leak.c:228","warning: Value stored to 'p' during its initialization is never read"
"01.w_Defects/memory_leak.c:236","warning: Potential leak of memory pointed to by 'p'"
"01.w_Defects/memory_leak.c:245","warning: Value stored to 'p1' during its initialization is never read"
"01.w_Defects/memory_leak.c:248","warning: Potential leak of memory pointed to by 'p1'"
"01.w_Defects/memory_leak.c:276","warning: Potential leak of memory pointed to by 'un.u1'"
"01.w_Defects/memory_leak.c:276","warning: Value stored to 'buf' is never read"
"01.w_Defects/memory_leak.c:308","warning: Value stored to 'p' during its initialization is never read"
"01.w_Defects/memory_leak.c:311","warning: Potential leak of memory pointed to by 'p'"
"01.w_Defects/memory_leak.c:359","warning: Potential leak of memory pointed to by 'p'"
"01.w_Defects/memory_leak.c:372","warning: Value stored to 'fptr' during its initialization is never read"
"01.w_Defects/memory_leak.c:382","warning: Value stored to 'fptr1' is never read"
"01.w_Defects/memory_leak.c:384","warning: Potential leak of memory pointed to by 'fptr1'"
"01.w_Defects/memory_leak.c:404","warning: Potential leak of memory pointed to by 'str1'"
"01.w_Defects/memory_leak.c:424","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"01.w_Defects/memory_leak.c:74","warning: Potential leak of memory pointed to by 'str1'"
"01.w_Defects/memory_leak.c:96","warning: Access to field 'buf' results in a dereference of a null pointer"
"01.w_Defects/null_pointer.c:117","warning: Dereference of null pointer (loaded from variable 'p')"
"01.w_Defects/null_pointer.c:142","warning: Dereference of null pointer (loaded from variable 'p')"
"01.w_Defects/null_pointer.c:159","warning: Dereference of null pointer (loaded from variable 'p1')"
"01.w_Defects/null_pointer.c:173","warning: Dereference of null pointer (loaded from variable 'p2')"
"01.w_Defects/null_pointer.c:180","warning: Array access (from variable 'p') results in a null pointer dereference"
"01.w_Defects/null_pointer.c:238","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"01.w_Defects/null_pointer.c:23","warning: Dereference of null pointer (loaded from variable 'p')"
"01.w_Defects/null_pointer.c:334","warning: Array access (from variable 'null_pointer_017dst') results in a null pointer dereference"
"01.w_Defects/null_pointer.c:34","warning: Dereference of null pointer (loaded from variable 'p')"
"01.w_Defects/null_pointer.c:47","warning: Dereference of null pointer"
"01.w_Defects/null_pointer.c:63","warning: Access to field 'a' results in a dereference of a null pointer (loaded from variable 'p')"
"01.w_Defects/null_pointer.c:94","warning: Dereference of null pointer"
"01.w_Defects/overrun_st.c:320","warning: Assigned value is garbage or undefined"
"01.w_Defects/overrun_st.c:320","warning: Value stored to 'ret' is never read"
"01.w_Defects/overrun_st.c:44","warning: Assigned value is garbage or undefined"
"01.w_Defects/overrun_st.c:44","warning: Value stored to 'ret' is never read"
"01.w_Defects/ow_memcpy.c:41","warning: Assigned value is garbage or undefined"
"01.w_Defects/ptr_subtraction.c:35","warning: Value stored to 'buf' is never read"
"01.w_Defects/race_condition.c:332","warning: Value stored to 'ip' is never read"
"01.w_Defects/race_condition.c:352","warning: Value stored to 'ip' is never read"
"01.w_Defects/return_local.c:19","warning: Address of stack memory associated with local variable 'buf' returned to caller"
"01.w_Defects/st_cross_thread_access.c:144","warning: Address of stack memory associated with local variable 'arr' is still referred to by the global variable 'st_cross_thread_access_002_glb_ptr' upon returning to the caller. This will be a dangling reference"
"01.w_Defects/st_cross_thread_access.c:232","warning: Address of stack memory associated with local variable 'fptr' is still referred to by the global variable 'st_cross_thread_access_003_glb_ptr' upon returning to the caller. This will be a dangling reference"
"01.w_Defects/st_cross_thread_access.c:400","warning: Address of stack memory associated with local variable 'arr1' is still referred to by the global variable 'p' upon returning to the caller. This will be a dangling reference"
"01.w_Defects/st_cross_thread_access.c:56","warning: Address of stack memory associated with local variable 'arr' is still referred to by the global variable 'st_cross_thread_access_001_glb_ptr' upon returning to the caller. This will be a dangling reference"
"01.w_Defects/st_underrun.c:137","warning: Value stored to 's2' is never read"
"01.w_Defects/st_underrun.c:195","warning: Value stored to 'c' is never read"
"01.w_Defects/st_underrun.c:204","warning: String copy function overflows destination buffer"
"01.w_Defects/st_underrun.c:229","warning: Value stored to 'c' is never read"
"01.w_Defects/underrun_st.c:21","warning: Assigned value is garbage or undefined"
"01.w_Defects/underrun_st.c:21","warning: Value stored to 'ret' is never read"
"01.w_Defects/underrun_st.c:55","warning: Assigned value is garbage or undefined"
"01.w_Defects/underrun_st.c:55","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_memory_access.c:126","warning: Function call argument is an uninitialized value"
"01.w_Defects/uninit_memory_access.c:168","warning: Value stored to 'temp' is never read"
"01.w_Defects/uninit_memory_access.c:199","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_memory_access.c:26","warning: Function call argument is an uninitialized value"
"01.w_Defects/uninit_memory_access.c:318","warning: Function call argument is an uninitialized value"
"01.w_Defects/uninit_memory_access.c:418","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_memory_access.c:419","warning: Argument to free() is a constant address (18446744073709551615), which is not memory allocated by malloc()"
"01.w_Defects/uninit_memory_access.c:53","warning: Function call argument is an uninitialized value"
"01.w_Defects/uninit_memory_access.c:73","warning: Dereference of null pointer"
"01.w_Defects/uninit_memory_access.c:97","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_memory_access.c:97","warning: Value stored to 'k' is never read"
"01.w_Defects/uninit_pointer.c:103","warning: Dereference of undefined pointer value"
"01.w_Defects/uninit_pointer.c:124","warning: Potential leak of memory pointed to by 'buf1'"
"01.w_Defects/uninit_pointer.c:124","warning: Potential leak of memory pointed to by 'buf3'"
"01.w_Defects/uninit_pointer.c:124","warning: Potential leak of memory pointed to by 'buf4'"
"01.w_Defects/uninit_pointer.c:124","warning: Potential leak of memory pointed to by 'buf5'"
"01.w_Defects/uninit_pointer.c:130","warning: The left operand of '+' is a garbage value"
"01.w_Defects/uninit_pointer.c:151","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_pointer.c:186","warning: Function call argument is an uninitialized value"
"01.w_Defects/uninit_pointer.c:199","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_pointer.c:199","warning: Value stored to 'buf' is never read"
"01.w_Defects/uninit_pointer.c:214","warning: Result of 'malloc' is converted to a pointer of type 'unsigned int', which is incompatible with sizeof operand type 'unsigned int *'"
"01.w_Defects/uninit_pointer.c:29","warning: Dereference of undefined pointer value"
"01.w_Defects/uninit_pointer.c:29","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_pointer.c:334","warning: Value stored to 'r' is never read"
"01.w_Defects/uninit_pointer.c:357","warning: Function call argument is an uninitialized value"
"01.w_Defects/uninit_pointer.c:40","warning: Dereference of undefined pointer value"
"01.w_Defects/uninit_pointer.c:412","warning: Potential leak of memory pointed to by 's'"
"01.w_Defects/uninit_pointer.c:54","warning: Dereference of undefined pointer value"
"01.w_Defects/uninit_pointer.c:54","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_pointer.c:64","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_pointer.c:70","warning: Function call argument is an uninitialized value"
"01.w_Defects/uninit_pointer.c:80","warning: Value stored to 'buf2' during its initialization is never read"
"01.w_Defects/uninit_pointer.c:89","warning: Dereference of undefined pointer value"
"01.w_Defects/uninit_pointer.c:89","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_var.c:110","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_var.c:110","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_var.c:160","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_var.c:176","warning: The left operand of '>' is a garbage value"
"01.w_Defects/uninit_var.c:185","warning: Value stored to 'p' is never read"
"01.w_Defects/uninit_var.c:227","warning: Value stored to 'r' is never read"
"01.w_Defects/uninit_var.c:22","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_var.c:22","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_var.c:242","warning: Undefined or garbage value returned to caller"
"01.w_Defects/uninit_var.c:248","warning: Value stored to 'a' is never read"
"01.w_Defects/uninit_var.c:275","warning: Value stored to 'r' is never read"
"01.w_Defects/uninit_var.c:295","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_var.c:295","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_var.c:33","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_var.c:33","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_var.c:44","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_var.c:44","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_var.c:62","warning: Assigned value is garbage or undefined"
"01.w_Defects/uninit_var.c:62","warning: Value stored to 'ret' is never read"
"01.w_Defects/uninit_var.c:74","warning: Undefined or garbage value returned to caller"
"01.w_Defects/uninit_var.c:80","warning: Value stored to 'a' is never read"
"01.w_Defects/uninit_var.c:91","warning: Assigned value is garbage or undefined"
"01.w_Defects/unused_var.c:23","warning: Value stored to 'unuse' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:113","warning: Value stored to 'ret' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:140","warning: Value stored to 'ret' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:160","warning: Function taking 2 arguments is called with less (1)"
"01.w_Defects/wrong_arguments_func_pointer.c:160","warning: Value stored to 'ret' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:181","warning: Value stored to 'ret' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:200","warning: Value stored to 'ret' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:224","warning: Potential leak of memory pointed to by 'str3'"
"01.w_Defects/wrong_arguments_func_pointer.c:224","warning: Value stored to 'ret' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:281","warning: Value stored to 'temp' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:336","warning: The left expression of the compound assignment is an uninitialized value. The computed value will also be garbage"
"01.w_Defects/wrong_arguments_func_pointer.c:380","warning: Function taking 2 arguments is called with less (1)"
"01.w_Defects/wrong_arguments_func_pointer.c:422","warning: Function taking 2 arguments is called with less (1)"
"01.w_Defects/wrong_arguments_func_pointer.c:422","warning: Value stored to 'a' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:490","warning: Value stored to 'ret' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:501","warning: Value stored to 'a' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:527","warning: Value stored to 'flag' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:52","warning: Value stored to 'a' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:538","warning: Value stored to 'flag' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:578","warning: Function taking 2 arguments is called with less (1)"
"01.w_Defects/wrong_arguments_func_pointer.c:73","warning: Value stored to 'a' is never read"
"01.w_Defects/wrong_arguments_func_pointer.c:93","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:117","warning: Division by zero"
"01.w_Defects/zero_division.c:117","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:128","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:140","warning: Division by zero"
"01.w_Defects/zero_division.c:140","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:153","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:165","warning: Division by zero"
"01.w_Defects/zero_division.c:165","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:177","warning: Division by zero"
"01.w_Defects/zero_division.c:177","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:194","warning: Division by zero"
"01.w_Defects/zero_division.c:194","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:205","warning: Division by zero"
"01.w_Defects/zero_division.c:205","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:224","warning: Division by zero"
"01.w_Defects/zero_division.c:224","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:22","warning: Division by zero"
"01.w_Defects/zero_division.c:22","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:251","warning: Division by zero"
"01.w_Defects/zero_division.c:251","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:33","warning: Division by zero"
"01.w_Defects/zero_division.c:34","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:46","warning: Division by zero"
"01.w_Defects/zero_division.c:46","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:77","warning: Division by zero"
"01.w_Defects/zero_division.c:77","warning: Value stored to 'ret' is never read"
"01.w_Defects/zero_division.c:92","warning: Value stored to 'ret' is never read"
"02.wo_Defects/buffer_underrun_dynamic.c:722","warning: Array access results in a null pointer dereference"
"02.wo_Defects/buffer_underrun_dynamic.c:722","warning: Use of memory after it is freed"
"02.wo_Defects/free_nondynamically_allocated_memory.c:59","warning: Value stored to 'ptr' during its initialization is never read"
"02.wo_Defects/free_nondynamically_allocated_memory.c:81","warning: Dereference of null pointer"
"02.wo_Defects/free_null_pointer.c:118","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"02.wo_Defects/free_null_pointer.c:248","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"02.wo_Defects/free_null_pointer.c:363","warning: Value stored to 'flag' during its initialization is never read"
"02.wo_Defects/free_null_pointer.c:424","warning: Value stored to 'p' is never read"
"02.wo_Defects/free_null_pointer.c:457","warning: Value stored to 'a' is never read"
"02.wo_Defects/free_null_pointer.c:490","warning: Potential leak of memory pointed to by 'fptr'"
"02.wo_Defects/func_pointer.c:340","warning: Value stored to 'flag' during its initialization is never read"
"02.wo_Defects/func_pointer.c:512","warning: Value stored to 'flag' is never read"
"02.wo_Defects/func_pointer.c:564","warning: Value stored to 'flag' is never read"
"02.wo_Defects/invalid_memory_access.c:182","warning: Dereference of null pointer"
"02.wo_Defects/invalid_memory_access.c:274","warning: Access to field 'a' results in a dereference of a null pointer (loaded from field 's1')"
"02.wo_Defects/invalid_memory_access.c:69","warning: Dereference of null pointer"
"02.wo_Defects/littlemem_st.c:36","warning: Value stored to 'ret' is never read"
"02.wo_Defects/littlemem_st.c:92","warning: Address of stack memory associated with local variable 'buf' is still referred to by the global variable 'littlemem_st_004_s_001_gbl_str' upon returning to the caller. This will be a dangling reference"
"02.wo_Defects/lock_never_unlock.c:230","warning: Value stored to 'ip' is never read"
"02.wo_Defects/lock_never_unlock.c:326","warning: Value stored to 'ip' is never read"
"02.wo_Defects/memory_allocation_failure.c:278","warning: Potential memory leak"
"02.wo_Defects/memory_allocation_failure.c:291","warning: Value stored to 'buf' is never read"
"02.wo_Defects/memory_allocation_failure.c:456","warning: Value stored to 'a' is never read"
"02.wo_Defects/memory_allocation_failure.c:83","warning: Dereference of null pointer"
"02.wo_Defects/memory_leak.c:377","warning: Value stored to 'fptr' during its initialization is never read"
"02.wo_Defects/memory_leak.c:430","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"02.wo_Defects/memory_leak.c:99","warning: Access to field 'buf' results in a dereference of a null pointer"
"02.wo_Defects/null_pointer.c:258","warning: Null pointer passed as an argument to a 'nonnull' parameter"
"02.wo_Defects/ow_memcpy.c:41","warning: Assigned value is garbage or undefined"
"02.wo_Defects/race_condition.c:381","warning: Value stored to 'ip' is never read"
"02.wo_Defects/race_condition.c:401","warning: Value stored to 'ip' is never read"
"02.wo_Defects/st_cross_thread_access.c:144","warning: Address of stack memory associated with local variable 'arr' is still referred to by the global variable 'st_cross_thread_access_002_glb_ptr' upon returning to the caller. This will be a dangling reference"
"02.wo_Defects/st_cross_thread_access.c:233","warning: Address of stack memory associated with local variable 'fptr' is still referred to by the global variable 'st_cross_thread_access_003_glb_ptr' upon returning to the caller. This will be a dangling reference"
"02.wo_Defects/st_cross_thread_access.c:400","warning: Address of stack memory associated with local variable 'arr1' is still referred to by the global variable 'p' upon returning to the caller. This will be a dangling reference"
"02.wo_Defects/st_cross_thread_access.c:56","warning: Address of stack memory associated with local variable 'arr' is still referred to by the global variable 'st_cross_thread_access_001_glb_ptr' upon returning to the caller. This will be a dangling reference"
"02.wo_Defects/st_underrun.c:212","warning: String copy function overflows destination buffer"
"02.wo_Defects/uninit_memory_access.c:400","warning: Value stored to 'flag' during its initialization is never read"
"02.wo_Defects/uninit_memory_access.c:75","warning: Dereference of null pointer"
"02.wo_Defects/uninit_memory_access.c:99","warning: Value stored to 'k' is never read"
"02.wo_Defects/uninit_pointer.c:131","warning: Potential leak of memory pointed to by 'buf1'"
"02.wo_Defects/uninit_pointer.c:131","warning: Potential leak of memory pointed to by 'buf2'"
"02.wo_Defects/uninit_pointer.c:131","warning: Potential leak of memory pointed to by 'buf3'"
"02.wo_Defects/uninit_pointer.c:131","warning: Potential leak of memory pointed to by 'buf4'"
"02.wo_Defects/uninit_pointer.c:131","warning: Potential leak of memory pointed to by 'buf5'"
"02.wo_Defects/uninit_pointer.c:226","warning: Result of 'malloc' is converted to a pointer of type 'unsigned int', which is incompatible with sizeof operand type 'unsigned int *'"
"02.wo_Defects/uninit_pointer.c:431","warning: Potential leak of memory pointed to by 's'"
"02.wo_Defects/wrong_arguments_func_pointer.c:113","warning: Value stored to 'ret' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:138","warning: Value stored to 'ret' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:157","warning: Value stored to 'ret' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:177","warning: Value stored to 'ret' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:196","warning: Value stored to 'ret' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:219","warning: Potential leak of memory pointed to by 'str1'"
"02.wo_Defects/wrong_arguments_func_pointer.c:219","warning: Potential leak of memory pointed to by 'str2'"
"02.wo_Defects/wrong_arguments_func_pointer.c:223","warning: Value stored to 'ret' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:283","warning: Value stored to 'temp' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:419","warning: Value stored to 'a' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:486","warning: Value stored to 'ret' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:497","warning: Value stored to 'a' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:524","warning: Value stored to 'flag' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:52","warning: Value stored to 'a' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:535","warning: Value stored to 'flag' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:73","warning: Value stored to 'a' is never read"
"02.wo_Defects/wrong_arguments_func_pointer.c:93","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:115","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:126","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:138","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:153","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:166","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:178","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:195","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:206","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:225","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:22","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:252","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:34","warning: Value stored to 'ret' is never read"
"02.wo_Defects/zero_division.c:45","warning: Value stored to 'ret' is never read"
